pid	group	gene_group	n_var	n_gene
004Int002	level1	all genes	158	99
004Int002	level1	GADO selected	24	12
004Int002	level1	ClinVar pathogenic	31	19
004Int002	level1	PanelApp green	20	13
004Int002	level2	all genes	59	35
004Int002	level2	GADO selected	5	5
004Int002	level2	ClinVar pathogenic	16	10
004Int002	level2	PanelApp green	13	7
004Int002	level3	all genes	6	3
004Int002	level3	GADO selected	0	0
004Int002	level3	ClinVar pathogenic	3	1
004Int002	level3	PanelApp green	3	1
004Int002	level4	all genes	0	0
004Int002	level4	GADO selected	0	0
004Int002	level4	ClinVar pathogenic	0	0
004Int002	level4	PanelApp green	0	0
005Kli001	level1	all genes	185	134
005Kli001	level1	GADO selected	27	19
005Kli001	level1	ClinVar pathogenic	49	28
005Kli001	level1	PanelApp green	26	18
005Kli001	level2	all genes	101	65
005Kli001	level2	GADO selected	15	11
005Kli001	level2	ClinVar pathogenic	27	14
005Kli001	level2	PanelApp green	12	9
005Kli001	level3	all genes	4	4
005Kli001	level3	GADO selected	1	1
005Kli001	level3	ClinVar pathogenic	1	1
005Kli001	level3	PanelApp green	0	0
005Kli001	level4	all genes	0	0
005Kli001	level4	GADO selected	0	0
005Kli001	level4	ClinVar pathogenic	0	0
005Kli001	level4	PanelApp green	0	0
006Bra001	level1	all genes	212	104
006Bra001	level1	GADO selected	38	9
006Bra001	level1	ClinVar pathogenic	41	24
006Bra001	level1	PanelApp green	42	21
006Bra001	level2	all genes	126	60
006Bra001	level2	GADO selected	29	5
006Bra001	level2	ClinVar pathogenic	18	12
006Bra001	level2	PanelApp green	20	11
006Bra001	level3	all genes	3	3
006Bra001	level3	GADO selected	0	0
006Bra001	level3	ClinVar pathogenic	1	1
006Bra001	level3	PanelApp green	1	1
006Bra001	level4	all genes	0	0
006Bra001	level4	GADO selected	0	0
006Bra001	level4	ClinVar pathogenic	0	0
006Bra001	level4	PanelApp green	0	0
007SYN001	level1	all genes	254	130
007SYN001	level1	GADO selected	17	9
007SYN001	level1	ClinVar pathogenic	62	35
007SYN001	level1	PanelApp green	36	20
007SYN001	level2	all genes	124	71
007SYN001	level2	GADO selected	4	4
007SYN001	level2	ClinVar pathogenic	30	20
007SYN001	level2	PanelApp green	17	12
007SYN001	level3	all genes	15	12
007SYN001	level3	GADO selected	0	0
007SYN001	level3	ClinVar pathogenic	4	4
007SYN001	level3	PanelApp green	2	2
007SYN001	level4	all genes	2	2
007SYN001	level4	GADO selected	0	0
007SYN001	level4	ClinVar pathogenic	1	1
